hrmin,time,s1,s2,s3,s6,s8
808,508,348.755,63.0317,357.646,70.9591,341.894
808,509,348.283,63.0317,357.646,70.9591,341.894
808,510,349.227,63.0317,358.036,70.9591,340.718
808,511,348.283,62.6224,357.646,70.9591,341.894
808,512,348.283,62.6224,357.646,70.9591,341.502
808,513,348.755,62.6224,358.427,70.9591,341.11
808,514,348.283,62.6224,358.036,70.9591,341.502
808,515,348.755,62.6224,358.427,71.323,341.894
808,516,349.227,62.6224,358.427,71.323,341.894
808,517,349.699,62.6224,358.816,71.323,341.894
808,518,350.17,62.2131,358.816,70.9591,341.502
808,519,350.17,62.2131,358.816,71.323,341.11
808,520,351.114,62.2131,359.206,71.323,341.894
808,521,351.114,62.2131,358.427,71.323,341.502
808,522,351.114,62.2131,358.816,71.323,341.894
808,523,351.114,62.2131,359.206,71.323,341.894
808,524,351.114,62.2131,359.206,71.323,341.894
808,525,351.114,62.2131,359.206,71.323,341.894
808,526,351.114,62.2131,359.597,71.323,342.678
808,527,351.114,62.6224,359.597,71.6868,342.678
808,528,351.114,62.6224,359.206,71.6868,342.678
808,529,351.114,62.6224,359.987,71.6868,342.678
808,530,351.114,62.6224,359.987,71.6868,342.286
808,531,351.114,62.6224,359.987,71.6868,342.678
808,532,351.114,62.6224,360.377,71.6868,342.286
808,533,351.114,62.6224,359.987,71.6868,342.286
808,534,351.114,62.6224,359.987,71.6868,341.894
808,535,351.114,62.6224,360.767,71.6868,341.894
808,536,351.114,62.6224,360.767,71.6868,341.502
808,537,351.114,62.6224,361.547,71.6868,340.718
808,538,351.586,62.6224,361.547,71.6868,340.326
808,539,351.586,62.6224,361.547,71.6868,339.934
